Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Kuwait,All Share PR,"7,116.98","7,141.89","7,102.40",-70.15,-0.98%,14/04
Kuwait,Main Market PR,"5,910.87","5,933.06","5,872.50",-49.43,-0.83%,14/04
Latvia,Riga General,"1,326.95","1,328.59","1,322.44",+2.89,+0.22%,12/04
Lebanon,BLOM Stock,"1,688.98","1,697.28","1,687.20",+1.78,+0.11%,09/04
Lebanon,BDL STOCK IX,"3,445.25","3,445.25","3,445.25",+113.92,+3.42%,27/06
Lebanon,Beirut Stock,39.62,39.62,35.15,+4.47,+12.73%,06:07:00
Lithuania,Vilnius SE General,962.48,962.48,962.48,+5.44,+0.57%,12/04
Malaysia,KLCI,"1,542.53","1,548.34","1,542.53",-8.51,-0.55%,05:05:00
Malaysia,Malaysia ACE,"4,996.47","5,071.16","4,972.05",-103.65,-2.03%,04:59:00
Malaysia,FTSE BM Mid 70,"16,159.85","16,329.08","16,159.85",-232.72,-1.42%,04:59:45
Malaysia,Malaysia Top 100,"11,239.06","11,290.74","11,239.06",-87.86,-0.78%,04:59:45
Malaysia,FTSE Malaysia,222.63,222.63,222.63,0.00,0.00%,12/04
Malta,MSE,"3,744.05","3,744.05","3,744.05",-1.99,-0.05%,12/04
Mauritius,Semdex,"2,144.83","2,144.83","2,144.83",+3.00,+0.14%,12/04
Mexico,FTSE BIVA Real Time Price,"1,157.57","1,162.44","1,156.20",-1.68,-0.14%,11:28:00
Mexico,S&P/BMV IPC,"56,399.27","56,709.12","56,382.37",-166.65,-0.29%,11:23:00
Mexico,S&P/BMV INMEX,"3,485.14","3,503.14","3,483.13",-7.90,-0.23%,11:23:00
Mexico,S&P/BMV IPC CompMx,469.55,471.75,469.35,-1.12,-0.24%,11:23:00
Mongolia,MNE Top 20,"41,420.71","41,420.71","41,420.71",-352.65,-0.85%,11:00:00
Montenegro,MNSE 10,"1,026.43","1,026.43","1,026.43",-6.11,-0.59%,10/03
Montenegro,MONEX,"14,802.43","14,802.43","14,802.43",0.00,0.00%,05/04
Morocco,Moroccan All Shares,"13,372.71","13,400.28","13,304.39",+31.43,+0.24%,10:32:58
Morocco,FTSE CSE Morocco 15,"12,454.42","12,487.41","12,381.18",+30.69,+0.25%,11:28:00
Morocco,FTSE CSE Morocco All-Liquid,"11,199.35","11,220.54","11,140.79",+24.40,+0.22%,11:28:00
Namibia,NSX,"1,555.8","1,562.0","1,543.1",-2.5,-0.16%,12/04
Namibia,NSX Local,678.3,678.7,674.4,+3.3,+0.49%,12/04
Netherlands,AEX,884.07,890.58,881.62,+0.62,+0.07%,11:35:45
Netherlands,AEX All Share,"1,203.57","1,220.23","1,200.02",+0.26,+0.02%,12/04
Netherlands,AMS Small Cap,"1,248.99","1,262.36","1,248.96",-4.79,-0.38%,12/04
Netherlands,AMX,935.33,950.48,933.95,-3.57,-0.38%,12/04
New Zealand,NZX 50,"11,916.78","11,931.32","11,790.86",-14.54,-0.12%,01:00:00
New Zealand,NZX MidCap,"5,048.88","5,091.82","5,032.63",-42.94,-0.84%,01:00:00
New Zealand,DJ New Zealand,326.91,327.46,323.43,-0.48,-0.15%,11:30:00
New Zealand,DJ New Zealand (USD),358.14,359.90,354.59,-1.70,-0.47%,11:30:00
New Zealand,NZX All,"1,776.02","1,778.58","1,758.03",-2.56,-0.14%,01:00:00
New Zealand,NZX SmallCap,"17,479.03","17,620.54","17,474.97",-141.51,-0.80%,01:00:00
Nigeria,NSE 30,"3,771.52","3,796.05","3,769.32",-24.53,-0.65%,09:30:00
Nigeria,NSE All Share,"101,778.47","102,367.97","101,744.88",-536.09,-0.52%,09:30:00
Norway,OSE Benchmark,"1,361.91","1,378.72","1,358.69",-14.26,-1.04%,10:25:45
Norway,Oslo OBX,"1,275.18","1,292.49","1,271.00",-13.17,-1.02%,10:25:45
Norway,OBX Price,605.45,613.67,603.46,-6.25,-1.02%,10:25:45
Norway,OMX Oslo 20,722.49,732.75,720.65,-8.76,-1.20%,10:25:25
Norway,Oslo All Share,"1,586.94","1,608.91","1,584.04",-19.85,-1.24%,10:25:45
Oman,MSM 30,"4,700.59","4,706.46","4,682.36",+3.78,+0.08%,14/04
Pakistan,Karachi 100,"70,608.88","70,608.88","69,914.11",+294.17,+0.42%,07:15:00
Pakistan,KMI All Shares,"32,932.29","32,932.29","32,585.67",+264.64,+0.81%,07:15:00
Pakistan,FTSE Pakistan,"1,051.52","1,051.52","1,051.52",+0.00,+0.00%,12/04
Pakistan,Karachi 30,"23,223.83","23,230.13","22,995.05",+91.54,+0.40%,07:15:00
Pakistan,Karachi All Share,"46,401.64","46,401.64","45,897.67",+359.66,+0.78%,07:15:00
Pakistan,Karachi Meezan 30,"118,787.45","118,787.45","117,566.12",+805.48,+0.68%,07:15:00
