Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Lebanon,Beirut Stock,39.62,39.62,35.15,4.47,12.73,2024-04-15 06:07:00
Lithuania,Vilnius SE General,962.48,962.48,962.48,5.44,0.57,
Malaysia,KLCI,1542.53,1548.34,1542.53,-8.51,-0.55,2024-04-15 05:05:00
Malaysia,Malaysia ACE,4996.47,5071.16,4972.05,-103.65,-2.03,2024-04-15 04:59:00
Malaysia,FTSE BM Mid 70,16159.85,16329.08,16159.85,-232.72,-1.42,2024-04-15 04:59:45
Malaysia,Malaysia Top 100,11239.06,11290.74,11239.06,-87.86,-0.78,2024-04-15 04:59:45
Malaysia,FTSE Malaysia,222.63,222.63,222.63,0.0,0.0,
Malta,MSE,3744.05,3744.05,3744.05,-1.99,-0.05,
Mauritius,Semdex,2144.83,2144.83,2144.83,3.0,0.14,
Mexico,FTSE BIVA Real Time Price,1157.57,1162.44,1156.2,-1.68,-0.14,2024-04-15 11:28:00
Mexico,S&P/BMV IPC,56399.27,56709.12,56382.37,-166.65,-0.29,2024-04-15 11:23:00
Mexico,S&P/BMV INMEX,3485.14,3503.14,3483.13,-7.9,-0.23,2024-04-15 11:23:00
Mexico,S&P/BMV IPC CompMx,469.55,471.75,469.35,-1.12,-0.24,2024-04-15 11:23:00
Mongolia,MNE Top 20,41420.71,41420.71,41420.71,-352.65,-0.85,2024-04-15 11:00:00
Montenegro,MNSE 10,1026.43,1026.43,1026.43,-6.11,-0.59,
Montenegro,MONEX,14802.43,14802.43,14802.43,0.0,0.0,
Morocco,Moroccan All Shares,13372.71,13400.28,13304.39,31.43,0.24,2024-04-15 10:32:58
Morocco,FTSE CSE Morocco 15,12454.42,12487.41,12381.18,30.69,0.25,2024-04-15 11:28:00
Morocco,FTSE CSE Morocco All-Liquid,11199.35,11220.54,11140.79,24.4,0.22,2024-04-15 11:28:00
Namibia,NSX,1555.8,1562.0,1543.1,-2.5,-0.16,
Namibia,NSX Local,678.3,678.7,674.4,3.3,0.49,
Netherlands,AEX,884.07,890.58,881.62,0.62,0.07,2024-04-15 11:35:45
Netherlands,AEX All Share,1203.57,1220.23,1200.02,0.26,0.02,
Netherlands,AMS Small Cap,1248.99,1262.36,1248.96,-4.79,-0.38,
Netherlands,AMX,935.33,950.48,933.95,-3.57,-0.38,
New Zealand,NZX 50,11916.78,11931.32,11790.86,-14.54,-0.12,2024-04-15 01:00:00
New Zealand,NZX MidCap,5048.88,5091.82,5032.63,-42.94,-0.84,2024-04-15 01:00:00
New Zealand,DJ New Zealand,326.91,327.46,323.43,-0.48,-0.15,2024-04-15 11:30:00
New Zealand,DJ New Zealand (USD),358.14,359.9,354.59,-1.7,-0.47,2024-04-15 11:30:00
New Zealand,NZX All,1776.02,1778.58,1758.03,-2.56,-0.14,2024-04-15 01:00:00
New Zealand,NZX SmallCap,17479.03,17620.54,17474.97,-141.51,-0.8,2024-04-15 01:00:00
Nigeria,NSE 30,3771.52,3796.05,3769.32,-24.53,-0.65,2024-04-15 09:30:00
Nigeria,NSE All Share,101778.47,102367.97,101744.88,-536.09,-0.52,2024-04-15 09:30:00
Norway,OSE Benchmark,1361.91,1378.72,1358.69,-14.26,-1.04,2024-04-15 10:25:45
Norway,Oslo OBX,1275.18,1292.49,1271.0,-13.17,-1.02,2024-04-15 10:25:45
Norway,OBX Price,605.45,613.67,603.46,-6.25,-1.02,2024-04-15 10:25:45
Norway,OMX Oslo 20,722.49,732.75,720.65,-8.76,-1.2,2024-04-15 10:25:25
Norway,Oslo All Share,1586.94,1608.91,1584.04,-19.85,-1.24,2024-04-15 10:25:45
Oman,MSM 30,4700.59,4706.46,4682.36,3.78,0.08,
Pakistan,Karachi 100,70608.88,70608.88,69914.11,294.17,0.42,2024-04-15 07:15:00
Pakistan,KMI All Shares,32932.29,32932.29,32585.67,264.64,0.81,2024-04-15 07:15:00
Pakistan,FTSE Pakistan,1051.52,1051.52,1051.52,0.0,0.0,
Pakistan,Karachi 30,23223.83,23230.13,22995.05,91.54,0.4,2024-04-15 07:15:00
Pakistan,Karachi All Share,46401.64,46401.64,45897.67,359.66,0.78,2024-04-15 07:15:00
Pakistan,Karachi Meezan 30,118787.45,118787.45,117566.12,805.48,0.68,2024-04-15 07:15:00
Palestinian Territory,Al-Quds,548.5,548.5,542.42,0.32,0.06,2024-04-15 06:59:00
Peru,S&P Lima General,27595.69,28220.19,27564.9,0.0,0.0,
Peru,S&P Lima Select,33306.8,33857.64,33282.92,0.0,0.0,
Peru,S&P Peru Select,707.62,726.62,707.02,0.0,0.0,
Philippines,PSEi Composite,6562.43,6630.43,6556.93,-96.96,-1.46,2024-04-15 02:50:00
